screen_name,retweet_count,plain_text_len,question_marks,esclamation_marks,emojis,hashtags,tags,urls,verbs,nouns,adjs,advs
deliciousmag,2,45,1,0,0,0,0,1,3,3,2,0
deliciousmag,2,100,0,0,0,0,0,1,3,3,4,4
deliciousmag,4,65,0,0,0,0,0,1,3,6,1,1
deliciousmag,7,105,0,0,0,0,0,1,4,7,0,1
deliciousmag,4,74,0,0,0,0,0,1,1,4,5,0
deliciousmag,3,72,0,0,0,0,0,1,3,4,2,0
deliciousmag,8,130,0,0,0,0,0,1,4,10,3,0
deliciousmag,14,40,0,0,0,0,0,1,2,2,0,1
deliciousmag,4,97,0,0,0,0,0,1,1,5,6,1
deliciousmag,10,71,0,0,0,0,0,1,3,4,2,2
deliciousmag,5,26,0,0,0,0,0,1,0,3,0,0
deliciousmag,5,95,1,1,0,0,0,1,4,6,1,1
deliciousmag,11,67,0,0,0,0,0,1,1,4,4,0
deliciousmag,1,59,0,0,0,0,0,1,1,4,1,1
deliciousmag,11,91,0,0,0,0,0,1,2,8,1,1
deliciousmag,4,51,0,0,0,0,0,1,0,3,2,2
RecipesIdeas,0,84,0,1,0,0,0,0,0,9,2,1
RecipesIdeas,4,22,0,0,0,0,0,1,0,3,0,0
RecipesIdeas,3,68,0,0,0,0,0,0,3,5,0,2
RecipesIdeas,7,18,0,0,0,0,0,1,0,3,0,0
RecipesIdeas,0,107,0,0,0,0,0,0,4,6,1,1
RecipesIdeas,2,18,0,0,0,0,0,1,0,3,0,0
RecipesIdeas,2,53,0,0,0,0,0,0,3,4,0,1
RecipesIdeas,6,62,0,0,0,0,0,0,2,5,0,2
RecipesIdeas,1,102,0,0,0,0,0,0,2,8,3,0
RecipesIdeas,7,17,0,0,0,0,0,1,0,3,0,0
RecipesIdeas,1,51,0,0,0,0,0,0,1,4,1,0
RecipesIdeas,0,57,0,0,0,0,0,0,2,4,1,2
RecipesIdeas,2,17,0,0,0,0,0,1,0,3,0,0
RecipesIdeas,7,89,0,0,0,0,0,0,4,5,2,0
RecipesIdeas,2,17,0,0,0,0,0,1,0,2,1,0
RecipesIdeas,0,84,0,1,0,0,0,0,0,9,2,1
RecipesIdeas,2,67,0,0,0,0,0,0,2,5,2,0
RecipesIdeas,2,20,0,0,0,0,0,1,0,3,0,0
RecipesIdeas,3,46,0,0,0,0,0,0,1,5,1,0
RecipesIdeas,6,14,0,0,0,0,0,1,0,3,0,0
RecipesIdeas,1,38,0,0,0,0,0,0,2,4,1,0
RecipesIdeas,2,84,0,1,0,0,0,0,0,9,2,1
RecipesIdeas,2,13,0,0,0,0,0,1,0,3,0,0
RecipesIdeas,2,77,0,0,0,0,0,0,1,6,3,1
RecipesIdeas,6,14,0,0,0,0,0,1,0,3,0,0
